edge_id,query_lon,query_lat,status,http_code,error_msg,used_radius_m,image_id,thumb_url,captured_at,img_lon,img_lat,nearest_dist_m
13742,-0.15164688519954048,5.592316329621938,no_image,200,,300,,,,,,
4247,-0.24661932469436093,5.5523942850291395,no_image,200,,300,,,,,,
6911,-0.21144212604058196,5.534770410280805,ok,200,,300,1115826975563838,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9jp-ues_KpcX8UwSfcWJ1ap9Z-FLPsf1VxVtEOvqawj7zjLBobLQngXZaLhNqa808FBFhoNSUTsQjFyZGC8jvEjdcbNcBznW6Wk5AY2Ht5nahwCYOOlbk3T9fjguvy8k8I4v-h2Ijsp5J11u1Fa78?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=d3C7HXBtigp1_jof47XIcg&_nc_oc=Adpu7yB2a0fMJJdKN31vBsmWuScblrVqwRbyTDedk2H9DL0X_KC7V_2_THrIGcMoZ-c&ccb=10-5&oh=00_AfyMu0ngA41HP2s2ZWztcgidfuPR9g8phLQNBItelrGHVw&oe=69EE155B&_nc_sid=201bca,1522168512261.0,-0.21174380555772,5.5357184400834,110.57742912687394
8615,-0.16397446284350195,5.559985192601846,ok,200,,300,520037565846611,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An-GWBdRmXxxY-WnfKSctiOHM5vU2S-5gi1GnwAh88AwxZJmLsKWpwULVuHROOjhhM6ob7C-aynwYgqvILJxWuW6beU6MJ7y5SNNlzsvvjqpbWy41u7XUnmta4mOEYgZazuuznfP4sNCsO9yqDSqIA?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=kOE3xX_fr-eqozt2SSnDDw&_nc_oc=Adrm0_ZnkSDqRTwMvy-futOy4CLiKynAmSU7VpNP4BwcGKjQo8-bJ6ayaPwhlDTWzQk&ccb=10-6&oh=00_AfxjCqthiRcylzoQvgYmFTGEeRtmKoBngx8jfRIQZ-CN6g&oe=69EE2347&_nc_sid=201bca,1538135547000.0,-0.16245586777778,5.5582383925,256.85306293174466
5337,-0.23405879201754778,5.560926321098836,ok,200,,300,144733057667835,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An_D4WgrQNigQ6XH8T3BJLFJzluccQQ2Szd6NqdP2saqa2CVXV5YK7fXws1AHVNDzmmJiaOOisqyrNydGX3vvuCsec6TTseOCzGmZfgpUf1l5Zt7Lx8kd42aytUAmHjGPA3Z2ntjIwXEek_bDkn0uw?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=rvOQnDkkCSKsuIA99coTjg&_nc_oc=Adrvc3o_iP4ZrFwKBIRWhEzQI7oiDErnhmNh9prVy5WyyvbEgjGtYdtg1jLLhr69gdc&ccb=10-5&oh=00_AfxXGoSpiBMU1m4kJEzd6ypRruDgrDGFopu3Ovs9JS434w&oe=69EE074C&_nc_sid=201bca,1539172904000.0,-0.23259806444444,5.5629056877778,273.08654074200035
2178,-0.26166437946385096,5.541919506458188,no_image,200,,300,,,,,,
5713,-0.24059579314367818,5.565197761174206,ok,200,,300,175669651083642,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9-JV-G98F5Y7JTsbGkbm_5MXG2THSgmklctLVkLnOy2wRVYW6aGtHotpyujgj7JSExBgxIurvWB9A3h7STAgdPg3IRAuoPGPUadLlFt060GmDW66_Em2PZljiCRpTH5IK-2pwi_w8fFiph6og9Vw?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=EjZsyjSkeKx7XFcj3696lg&_nc_oc=AdrPlSDoJkS8VsTy_eZ4ue3UyBc-Hix4D5peW_RAr2-KiRsTrMHA4rhPAVTKFCqG5Qs&ccb=10-5&oh=00_AfxnuO6zgrAMfgWpD_D9qtaS-obMMfQATZcK1fuyxhAx_g&oe=69EDFF70&_nc_sid=201bca,1539172588000.0,-0.23845232083333,5.5668119061111,297.46907855253363
1567,-0.23996070378304865,5.538658774516319,ok,200,,300,277592877483297,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An8kDoT980sv9Vsrk9iHjQpSWNS6PxfJ6fjNad3KIqc4TQgWXifY4kMRL7Z70eI2ktDq1UY73hripHyfKiJRWP8XCcPPOGknktJPbOEpu4kG-692qAYk7Pj0_GWKtGf1XqbhMoyt0d8o_tS8Ut3gng?stp=s1024x576&edm=AOnQwmMEAAAA&_nc_gid=7TT34eTj5yztcx9VbY8pRQ&_nc_oc=Adqk1R452QxaVgREr0P7M168UP01IT2pz5Xs9bRFrKdZl-6P8A6ljz1MDP3HNtH7P-k&ccb=10-5&oh=00_Afz5q-o8VjH2tQgP_S77j6LZod2YOIR86L9a_GNFnch0aA&oe=69EE1DC3&_nc_sid=201bca,1583666770612.0,-0.2386926939759,5.5385881210843,140.55772800652412
3378,-0.22301223361685976,5.547980456767182,ok,200,,300,491199598977796,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An-IPzTt8gcA587hQquDb1dHd4D4bdHGTxalDn9f-J-xJrCmTYG-ptIIP1CpBaSkHZp3wa1QVBPEZKqPOzVR7iiR78fieWmJ8y7YEIyoQyAzMnXSfYFAOeKEqPcX4-tjTSc3aF8DGDbGfju89qVR_Q?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=XOV7ZBGiJiMu0cEIF2NQfw&_nc_oc=AdqbCX15PY9zym4e0fV8jFJgMllHuum64xZSo6OF-lZW6Ym5K4kHuil8wywFHfLXSwI&ccb=10-5&oh=00_AfxKcml3tPRVNMYEV1T1-yQ9YgbJAO7M7ymvsTs90oy8VQ&oe=69EDF45C&_nc_sid=201bca,1546263773997.0,-0.22043509999738,5.5501546999979,373.9002554651773
2639,-0.26157155124303705,5.546705136626503,no_image,200,,300,,,,,,
13024,-0.20740307787263673,5.580678124149528,ok,200,,300,1284109352609293,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9EvaNfB_-Qc9qecfjVxxngwFobTY9ff3oJwCqkBQPRDlzGzw7hbUWK31lHrgbB9VqZzWrlFPD_bgn3axB6XFUnYSjC6VMPMfI3HHPxTV3ByMb_l3aj_m1UX-0NrZYTYywCV7Gg5HzVjQbMcPaYeA?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=pHV8b4qLse67sQniGQwzqg&_nc_oc=Adp2qpxNs6YFn7LS66XEazfk75_sRnmfn8MHLSQTLy8wa9mmrbNnWBUdOjbHG_54EIs&ccb=10-5&oh=00_AfxMdmk-iuvaQ5nHFnlMRIX7bBLZvH_txo2fOerQizxKoA&oe=69EE19AE&_nc_sid=201bca,1731856156780.0,-0.2095969,5.5784896,343.7523481149061
8052,-0.16551430676146045,5.554217243850842,ok,200,,300,1023307781410097,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An8KCMmAkrZ-Mo7Bg-1hJD7Uo2Q7jIlQQLlCn-ijPzn_OdS_NwFs61VGK72M8o9Ix3dDxYNtbrw1aSSmizMC336c1hcaBt9STaLBApRlvlX-CecGVxnuLfBJYepWxnjCcMig-GfWYmQoVjwC-2x-EQ?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=Huk9HlCJrxJjtXnV1iM_1w&_nc_oc=AdoDYY8WJrPdKUi_acu5mA42hjmNnmDvkFYUg0XYhzz17ozXYo45-3zy_dZGCu7C8A4&ccb=10-5&oh=00_AfxQM8Pzw5yI7xvF05npqY5pe-Y-2fYLxsbUg28-DShXow&oe=69EE0A6F&_nc_sid=201bca,1500218481521.0,-0.16619160791356,5.5555713264829,168.19416078098646
12652,-0.18058289062089866,5.582924315060363,ok,200,,300,1267629688352653,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An-uqFPVXFw6N6R2GQOtwEpUA62BS7qbutlEWufM1MKiGEFJKW853T17Q9tTcOXTutCM-xCj_sIt8PZ8fgUmOOYLaCtD9Fd6yi1EwVWepnfZh9EPpgger15wdRQKYLnDxBTWqL84KQBSiWp8VSeEZxE?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=UTStDx4KAqutcVLr2LoIhQ&_nc_oc=Adp-yBEx_ZU6G7k-Vf2Yrlrtz_cQ8idl5vK712mHL1RzOwEdv5WfFOmLvBtUh0RtKsM&ccb=10-5&oh=00_Afwamq49QGEsAHumY5v6jzrQDa7GQfrbQ8cQTvhESQ4Fbg&oe=69EE1EE1&_nc_sid=201bca,1750682442471.0,-0.1808934,5.5831775,44.42318803818755
6843,-0.21846842013027148,5.57987617603919,ok,200,,300,3489222438048036,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An87sKRzKRmNB90Hod9O6yT04Q5Zbo9Hnb8pEmZsnhp14xmhV-0d0QpVBEZUNJp57Jx2evhk_9VYWQRQjP-B9UQh_S23pJovYIKTmVkY4WLpBZ5PfvEykFDBcCbNmTltoLdritccvbzyD6xPSo5if2U?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=Ls8SEweCUVhUee_YAL-rGQ&_nc_oc=AdqbC1UTXQK4-fvV3wP0ShaYsjHhwgA_YFdB7AroqsWpirzRg0vvgOtZMiEALlsQpU0&ccb=10-5&oh=00_Afwm1dZhJHnEPzexACtglCjFsKnvkuYb9exEqDzgW4Xaaw&oe=69EDF303&_nc_sid=201bca,1730445215350.0,-0.2157808,5.5779477,366.6745040315727
8625,-0.16242958206214989,5.559902923622605,ok,200,,300,170412321679796,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An_pGBMJz1pqn-nDHPe5reiNQTsTf5VvFI2hZncjn_hgemueQlr5MsbXVk5UZqwywMs6netd4zQ45OFLpF7LW1_tJJUxhy31oWHHE2kTK61y8FpftZ2bzgsMovfVgfWEsacymwmBYEVm9gasVfOJVA?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=kpQl7AThCFWYSPbuexlYgw&_nc_oc=Adr5uXyqdPb7evRmOlWblKlhNuKZD0dD44Ed8aYPCjwoofgHcul2pCWLZPRMoYAn5hU&ccb=10-5&oh=00_Afzoz7wkRuM2kVtDfYyEfDWjn2dd4DPMmdUa_3TQtQ5vYg&oe=69EE1EB6&_nc_sid=201bca,1538146168000.0,-0.1604519225,5.5612473280556,265.05096971426946
