edge_id,query_lon,query_lat,status,http_code,error_msg,used_radius_m,image_id,thumb_url,captured_at,img_lon,img_lat,nearest_dist_m,local_path,dl_status,texture_var,dark_ratio,wet_ratio,risk_score,risk_norm
5337,-0.23405879201754778,5.560926321098836,ok,200,,300,144733057667835,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An_D4WgrQNigQ6XH8T3BJLFJzluccQQ2Szd6NqdP2saqa2CVXV5YK7fXws1AHVNDzmmJiaOOisqyrNydGX3vvuCsec6TTseOCzGmZfgpUf1l5Zt7Lx8kd42aytUAmHjGPA3Z2ntjIwXEek_bDkn0uw?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=rvOQnDkkCSKsuIA99coTjg&_nc_oc=Adrvc3o_iP4ZrFwKBIRWhEzQI7oiDErnhmNh9prVy5WyyvbEgjGtYdtg1jLLhr69gdc&ccb=10-5&oh=00_AfxXGoSpiBMU1m4kJEzd6ypRruDgrDGFopu3Ovs9JS434w&oe=69EE074C&_nc_sid=201bca,1539172904000.0,-0.23259806444444,5.5629056877778,273.08654074200035,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/144733057667835.jpg,downloaded,0.0017706196522340178,0.14065424601236978,0.19793192545572916,0.08266796872097378,0.30639118127481485
5713,-0.24059579314367818,5.565197761174206,ok,200,,300,175669651083642,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9-JV-G98F5Y7JTsbGkbm_5MXG2THSgmklctLVkLnOy2wRVYW6aGtHotpyujgj7JSExBgxIurvWB9A3h7STAgdPg3IRAuoPGPUadLlFt060GmDW66_Em2PZljiCRpTH5IK-2pwi_w8fFiph6og9Vw?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=EjZsyjSkeKx7XFcj3696lg&_nc_oc=AdrPlSDoJkS8VsTy_eZ4ue3UyBc-Hix4D5peW_RAr2-KiRsTrMHA4rhPAVTKFCqG5Qs&ccb=10-5&oh=00_AfxnuO6zgrAMfgWpD_D9qtaS-obMMfQATZcK1fuyxhAx_g&oe=69EDFF70&_nc_sid=201bca,1539172588000.0,-0.23845232083333,5.5668119061111,297.46907855253363,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/175669651083642.jpg,downloaded,0.002004823414608836,0.07166035970052083,0.22572453816731772,0.0676454272509242,0.23915150460177392
1567,-0.23996070378304865,5.538658774516319,ok,200,,300,277592877483297,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An8kDoT980sv9Vsrk9iHjQpSWNS6PxfJ6fjNad3KIqc4TQgWXifY4kMRL7Z70eI2ktDq1UY73hripHyfKiJRWP8XCcPPOGknktJPbOEpu4kG-692qAYk7Pj0_GWKtGf1XqbhMoyt0d8o_tS8Ut3gng?stp=s1024x576&edm=AOnQwmMEAAAA&_nc_gid=7TT34eTj5yztcx9VbY8pRQ&_nc_oc=Adqk1R452QxaVgREr0P7M168UP01IT2pz5Xs9bRFrKdZl-6P8A6ljz1MDP3HNtH7P-k&ccb=10-5&oh=00_Afz5q-o8VjH2tQgP_S77j6LZod2YOIR86L9a_GNFnch0aA&oe=69EE1DC3&_nc_sid=201bca,1583666770612.0,-0.2386926939759,5.5385881210843,140.55772800652412,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/277592877483297.jpg,downloaded,0.0013323082821443677,0.022906833224826388,0.2371097140842014,0.05496014692536039,0.18237321916329916
3378,-0.22301223361685976,5.547980456767182,ok,200,,300,491199598977796,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An-IPzTt8gcA587hQquDb1dHd4D4bdHGTxalDn9f-J-xJrCmTYG-ptIIP1CpBaSkHZp3wa1QVBPEZKqPOzVR7iiR78fieWmJ8y7YEIyoQyAzMnXSfYFAOeKEqPcX4-tjTSc3aF8DGDbGfju89qVR_Q?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=XOV7ZBGiJiMu0cEIF2NQfw&_nc_oc=AdqbCX15PY9zym4e0fV8jFJgMllHuum64xZSo6OF-lZW6Ym5K4kHuil8wywFHfLXSwI&ccb=10-5&oh=00_AfxKcml3tPRVNMYEV1T1-yQ9YgbJAO7M7ymvsTs90oy8VQ&oe=69EDF45C&_nc_sid=201bca,1546263773997.0,-0.22043509999738,5.5501546999979,373.9002554651773,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/491199598977796.jpg,downloaded,0.002031912561506033,0.09868876139322917,0.2831230163574219,0.08724718797020614,0.32688739507107695
13024,-0.20740307787263673,5.580678124149528,ok,200,,300,1284109352609293,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9EvaNfB_-Qc9qecfjVxxngwFobTY9ff3oJwCqkBQPRDlzGzw7hbUWK31lHrgbB9VqZzWrlFPD_bgn3axB6XFUnYSjC6VMPMfI3HHPxTV3ByMb_l3aj_m1UX-0NrZYTYywCV7Gg5HzVjQbMcPaYeA?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=pHV8b4qLse67sQniGQwzqg&_nc_oc=Adp2qpxNs6YFn7LS66XEazfk75_sRnmfn8MHLSQTLy8wa9mmrbNnWBUdOjbHG_54EIs&ccb=10-5&oh=00_AfxMdmk-iuvaQ5nHFnlMRIX7bBLZvH_txo2fOerQizxKoA&oe=69EE19AE&_nc_sid=201bca,1731856156780.0,-0.2095969,5.5784896,343.7523481149061,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/1284109352609293.jpg,downloaded,0.004763135686516762,0.3214886983235677,0.0375823974609375,0.10634465683251619,0.4123661161074155
8052,-0.16551430676146045,5.554217243850842,ok,200,,300,1023307781410097,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An8KCMmAkrZ-Mo7Bg-1hJD7Uo2Q7jIlQQLlCn-ijPzn_OdS_NwFs61VGK72M8o9Ix3dDxYNtbrw1aSSmizMC336c1hcaBt9STaLBApRlvlX-CecGVxnuLfBJYepWxnjCcMig-GfWYmQoVjwC-2x-EQ?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=Huk9HlCJrxJjtXnV1iM_1w&_nc_oc=AdoDYY8WJrPdKUi_acu5mA42hjmNnmDvkFYUg0XYhzz17ozXYo45-3zy_dZGCu7C8A4&ccb=10-5&oh=00_AfxQM8Pzw5yI7xvF05npqY5pe-Y-2fYLxsbUg28-DShXow&oe=69EE0A6F&_nc_sid=201bca,1500218481521.0,-0.16619160791356,5.5555713264829,168.19416078098646,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/1023307781410097.jpg,downloaded,0.000340298778610304,0.048578898111979164,0.013894399007161459,0.017522698624331194,0.014806238287021158
12652,-0.18058289062089866,5.582924315060363,ok,200,,300,1267629688352653,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An-uqFPVXFw6N6R2GQOtwEpUA62BS7qbutlEWufM1MKiGEFJKW853T17Q9tTcOXTutCM-xCj_sIt8PZ8fgUmOOYLaCtD9Fd6yi1EwVWepnfZh9EPpgger15wdRQKYLnDxBTWqL84KQBSiWp8VSeEZxE?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=UTStDx4KAqutcVLr2LoIhQ&_nc_oc=Adp-yBEx_ZU6G7k-Vf2Yrlrtz_cQ8idl5vK712mHL1RzOwEdv5WfFOmLvBtUh0RtKsM&ccb=10-5&oh=00_Afwamq49QGEsAHumY5v6jzrQDa7GQfrbQ8cQTvhESQ4Fbg&oe=69EE1EE1&_nc_sid=201bca,1750682442471.0,-0.1808934,5.5831775,44.42318803818755,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/1267629688352653.jpg,downloaded,0.0011258490849286318,0.018969217936197918,0.3461163838704427,0.07547696669741223,0.2742048397038193
6843,-0.21846842013027148,5.57987617603919,ok,200,,300,3489222438048036,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An87sKRzKRmNB90Hod9O6yT04Q5Zbo9Hnb8pEmZsnhp14xmhV-0d0QpVBEZUNJp57Jx2evhk_9VYWQRQjP-B9UQh_S23pJovYIKTmVkY4WLpBZ5PfvEykFDBcCbNmTltoLdritccvbzyD6xPSo5if2U?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=Ls8SEweCUVhUee_YAL-rGQ&_nc_oc=AdqbC1UTXQK4-fvV3wP0ShaYsjHhwgA_YFdB7AroqsWpirzRg0vvgOtZMiEALlsQpU0&ccb=10-5&oh=00_Afwm1dZhJHnEPzexACtglCjFsKnvkuYb9exEqDzgW4Xaaw&oe=69EDF303&_nc_sid=201bca,1730445215350.0,-0.2157808,5.5779477,366.6745040315727,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/3489222438048036.jpg,downloaded,0.0018683327361941338,0.08493550618489583,0.49901580810546875,0.12621797984465957,0.5013174973646787
8625,-0.16242958206214989,5.559902923622605,ok,200,,300,170412321679796,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An_pGBMJz1pqn-nDHPe5reiNQTsTf5VvFI2hZncjn_hgemueQlr5MsbXVk5UZqwywMs6netd4zQ45OFLpF7LW1_tJJUxhy31oWHHE2kTK61y8FpftZ2bzgsMovfVgfWEsacymwmBYEVm9gasVfOJVA?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=kpQl7AThCFWYSPbuexlYgw&_nc_oc=Adr5uXyqdPb7evRmOlWblKlhNuKZD0dD44Ed8aYPCjwoofgHcul2pCWLZPRMoYAn5hU&ccb=10-5&oh=00_Afzoz7wkRuM2kVtDfYyEfDWjn2dd4DPMmdUa_3TQtQ5vYg&oe=69EE1EB6&_nc_sid=201bca,1538146168000.0,-0.1604519225,5.5612473280556,265.05096971426946,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/170412321679796.jpg,downloaded,0.0018547283252701163,0.03667449951171875,0.026958465576171875,0.01732140713138506,0.013905273897625657
3956,-0.22003875145954857,5.555915451246582,ok,200,,300,130358395779746,https://scontent-mad1-1.xx.fbcdn.net/m1/v/t6/An9nC68YteB7B7yCtCRbTlLeg3HRqjx8553t_my_fUHtVcp9tlsBzoPZxNGA9bT0v2z-4DvdOHGhHoRjaUVhyZ11JmaDqEpZBlf36824bm1ICEcBHQJsVuMvxiU-tZdOSIB_FawL8ocW-FmUSwxY1A?stp=s1024x768&edm=AOnQwmMEAAAA&_nc_gid=MYr6pgsF_2XY0Aa3tYxlAg&_nc_oc=AdrZDk6CeXihGajs2wwu7Kd1e5MPCH59fRFlnFW3rKiAaRFc_cIZdJhh-INxbFc-GsU&ccb=10-5&oh=00_AfyMGvZiutku20jxT1JOl_7cLm0FxURiY18S6hTiDlGrLw&oe=69EDF1A3&_nc_sid=201bca,1539175042000.0,-0.22045436305556,5.556036215,47.916850502860555,/Users/miranda/Documents/GitHub/Sentinel-FYP/outputs/mapillary_screen/images/130358395779746.jpg,downloaded,0.001704796333797276,0.08937454223632812,0.18857955932617188,0.06538067270303145,0.22901464701028643
