fclass,year,NDVI,BSI,ndvi_yoy_change,bsi_yoy_change
primary,2017,0.20922137071725289,0.16911202466450834,,
primary,2018,0.19127824018296366,0.15136335784669386,-0.017943130534289226,-0.01774866681781448
primary,2019,0.18202591300209764,0.09823720410532777,-0.009252327180866021,-0.05312615374136609
primary,2020,0.19783231364828752,0.10872814826621582,0.015806400646189878,0.010490944160888055
primary,2021,0.18640433281641147,0.10955443918262528,-0.011427980831876045,0.0008262909164094556
primary,2022,0.20138061986155026,0.12202215436374644,0.014976287045138786,0.012467715181121164
primary,2023,0.20707523154933533,0.11559995003924603,0.005694611687785067,-0.0064222043245004135
residential,2017,0.2675274740621076,0.168771502035051,,
residential,2018,0.24446743896916648,0.14046180966080846,-0.023060035092941106,-0.02830969237424255
residential,2019,0.2625891846986618,0.11251729809527142,0.018121745729495348,-0.02794451156553704
residential,2020,0.25921393711213775,0.11686202378010532,-0.003375247586524077,0.0043447256848339055
residential,2021,0.24697373322608446,0.1106528825444119,-0.012240203886053291,-0.0062091412356934245
residential,2022,0.26907236587998534,0.1336767300686376,0.022098632653900885,0.02302384752422569
residential,2023,0.26755023889901386,0.12216574192649586,-0.0015221269809714832,-0.011510988142141729
secondary,2017,0.21294188927431804,0.1693191079041417,,
secondary,2018,0.1978223717151077,0.14193318181734754,-0.015119517559210344,-0.02738592608679416
secondary,2019,0.19037097265481098,0.09855963473730725,-0.0074513990602967095,-0.04337354708004029
secondary,2020,0.1997460391753564,0.10579254859446743,0.009375066520545428,0.007232913857160184
secondary,2021,0.1919563049339681,0.10620703374498357,-0.007789734241388319,0.00041448515051613344
secondary,2022,0.21291783803037503,0.11944803719292175,0.020961533096406942,0.013241003447938188
secondary,2023,0.21395603880586467,0.11004122108649901,0.0010382007754896339,-0.009406816106422744
service,2017,0.22867645783963908,0.16409801125893644,,
service,2018,0.18794646038378104,0.1563689526694195,-0.040729997455858036,-0.007729058589516946
service,2019,0.1760279227511849,0.11105117730820428,-0.011918537632596149,-0.045317775361215215
service,2020,0.18236609218306912,0.12210965348811242,0.0063381694318842274,0.011058476179908142
service,2021,0.1742550478062969,0.11642115449366981,-0.008111044376772236,-0.005688498994442612
service,2022,0.19643113409588456,0.13612355277310256,0.02217608628958767,0.01970239827943275
service,2023,0.19526211442037275,0.12485762872900685,-0.0011690196755118065,-0.01126592404409571
tertiary,2017,0.22660954912053385,0.17855913034789253,,
tertiary,2018,0.22161548543736623,0.1368395742756208,-0.004994063683167627,-0.041719556072271735
tertiary,2019,0.22452112451178835,0.09784296889936289,0.0029056390744221228,-0.0389966053762579
tertiary,2020,0.232722728931714,0.10449880564753986,0.008201604419925651,0.006655836748176963
tertiary,2021,0.22014609183181685,0.10222863395390273,-0.012576637099897148,-0.0022701716936371213
tertiary,2022,0.2391269930712109,0.12165643637490588,0.018980901239394055,0.019427802421003143
tertiary,2023,0.2445157889702661,0.10879188187456638,0.005388795899055193,-0.012864554500339492
trunk,2017,0.21137318766892788,0.16731095298689908,,
trunk,2018,0.192687217591137,0.1429717954611952,-0.01868597007779088,-0.02433915752570387
trunk,2019,0.19020472200764257,0.10123245027776466,-0.0024824955834944207,-0.041739345183430546
trunk,2020,0.18963413591562595,0.10246895057471261,-0.0005705860920166284,0.0012365002969479538
trunk,2021,0.18356638811194834,0.1020141139219832,-0.006067747803677609,-0.0004548366527294123
trunk,2022,0.20388915250708606,0.11660478136086415,0.02032276439513772,0.014590667438880947
trunk,2023,0.20373399535473766,0.10992781456778306,-0.00015515715234840077,-0.006676966793081093
unclassified,2017,0.29730117225131897,0.16896320604579632,,
unclassified,2018,0.3142029431157148,0.11378517553363994,0.016901770864395815,-0.055178030512156376
unclassified,2019,0.36741141101809016,0.06754454852249459,0.05320846790237538,-0.046240627011145355
unclassified,2020,0.36831526575018775,0.06292183250714539,0.0009038547320975865,-0.004622716015349193
unclassified,2021,0.36210552488689207,0.06361015229256449,-0.006209740863295676,0.0006883197854190976
unclassified,2022,0.3787892164065947,0.07993498771345627,0.016683691519702615,0.016324835420891776
unclassified,2023,0.3867305541547031,0.07214096622755665,0.007941337748108401,-0.00779402148589961
